,noticias,personas_detectadas
612,"Carlos Correa Bau y triunfo de Karol Cariola: ""Es la última de los Mohicanos""","['Carlos Correa Bau', 'Karol Cariola']"
615,JYR: Leo Jofré y Cristián Stewart sobre elección de Karol Cariola en la mesa de la Cámara Baja,"['Leo Jofré', 'Cristián Stewart', 'Karol Cariola']"
616,Al Pan Pan: Carlos Correa y Vlado Mirosevic sobre presidencia de Karol Cariola en la Cámara Baja,"['Carlos Correa', 'Vlado Mirosevic', 'Karol Cariola']"
620,Exsubsecretario de Carabineros por general Yáñez: “La Fiscalía está en una suerte de zapato chino”,"['Exsubsecretario de Carabineros', 'general Yáñez']"
631,Juntos y Revueltos: Marco Moreno y Cristián Leporati abordan conflictos con Venezuela,"['Marco Moreno', 'Cristián Leporati']"
632,Al Pan Pan: Lagos Weber y Rodríguez Elizondo sobre Venezuela y crisis en Medio Oriente,"['Lagos Weber', 'Rodríguez Elizondo']"
674,"La nueva derrota de Rodolfo Carter: Cecilia Pérez prefirió ""Azul Azul"" a competir por La Florida","['Rodolfo Carter', 'Cecilia Pérez']"
677,Al Pan Pan: Diputado Araya y Tomás Izquierdo sobre levantamiento bancario y actualidad económica,"['Diputado Araya', 'Tomás Izquierdo']"
687,"Hugo Herrera critica trampolín presidencial de Marcela Cubillos en Las Condes: se está ""equivocando""","['Hugo Herrera', 'Marcela Cubillos']"
694,Al Pan Pan: Hugo Herrera e Iván Weissman sobre primarias municipales y crisis en Huachipato,"['Hugo Herrera', 'Iván Weissman']"
699,Josefa Errázuriz se baja de la carrera por Providencia y PPD opta por Fernanda Villegas (PS),"['Josefa Errázuriz', 'Fernanda Villegas']"
715,"Pepe Auth y candidatura de Evelyn Matthei: ""Su principal adversario es ella misma""","['Pepe Auth', 'Evelyn Matthei']"
717,Juntos y Revueltos: Marco Moreno y Cristián Leporati analizan lo que serán las primarias municipales,"['Marco Moreno', 'Cristián Leporati']"
718,Al Pan Pan: Pepe Auth y Gonzalo Winter abordaron las primarias municipales y caso Jadue,"['Pepe Auth', 'Gonzalo Winter']"
740,"Macarena Fernández (FA) en picada contra Pepa Errázuriz: ""Es un error que insista en ser alcaldesa""","['Macarena Fernández', 'Pepa Errázuriz']"
750,Expresidenta Michelle Bachelet es distinguida con el grado de Doctora Honoris Causa por la Usach,"['Expresidenta Michelle Bachelet', 'Doctora Honoris Causa']"
753,"Senador Sandoval (UDI) destroza candidatura municipal de Sebastián Sichel: ""Es un poquito malo""","['Senador Sandoval', 'Sebastián Sichel']"
768,Juntos y Revueltos: Marta Lagos y Clarisa Hardy comentan sobre la formalización a Daniel Jadue,"['Marta Lagos', 'Clarisa Hardy', 'Daniel Jadue']"
774,"Felipe Alessandri abandona Santiago para competir por Lo Barnechea: ""La comuna donde vivo y trabajo""","['Felipe Alessandri', 'Lo Barnechea']"
785,Al Pan Pan: Juan José Lyon e Iván Weissman comentan casos Jadue (Recoleta) y Peñaloza (Las Condes),"['Juan José Lyon', 'Iván Weissman']"
798,Juntos y Revueltos: Leo Jofré y Cristián Stewart sobre municipales e incidente en Lo Ovalledor,"['Leo Jofré', 'Cristián Stewart']"
803,Al Pan Pan: Luis Toledo y Natalia Piergentili sobre situación en Lo Valledor y actualidad política,"['Luis Toledo', 'Natalia Piergentili']"
828,"Walker (D): ""Vamos a competir con Evelyn Matthei llevando como candidata a Ximena Rincón""","['Evelyn Matthei', 'Ximena Rincón']"
837,"Aquiles Cubillos, exasesor de Andrés Chadwick, designado Fiscal de O'Higgins por Ángel Valencia","['Aquiles Cubillos', 'Andrés Chadwick', 'Ángel Valencia']"
842,Juntos y Revueltos: Marta Lagos y Clarisa Hardy comentan los dichos del senador Núñez (PC),"['Marta Lagos', 'Clarisa Hardy']"
843,Al Pan Pan: Mauro Basaure y Jorge Correa Sutil hablan sobre la izquierda Woke y el Caso Hermosilla,"['Mauro Basaure', 'Jorge Correa Sutil']"
859,Al Pan Pan: Luis Cuello (PC) e Iván Weissman hablan sobre polémicos dichos del senador Núñez (PC),"['Luis Cuello', 'Iván Weissman']"
864,Raffaella di Girolamo se querella contra Cristián Campos por abuso sexual durante su adolescencia,"['Raffaella di Girolamo', 'Cristián Campos']"
868,Juntos y Revueltos: Emilia García y Leo Jofré sobre contingencia política,"['Emilia García', 'Leo Jofré']"
870,Al Pan Pan: Pedro Pierry y Carolina Leitao hablan sobre caso Hermosilla y seguridad,"['Pedro Pierry', 'Carolina Leitao']"
882,Al Pan Pan: Juan Carlos Said y José García Ruminot sobre mutualización y actualidad política,"['Juan Carlos Said', 'José García Ruminot']"
884,"El nexo de Luis Hermosilla con el jefe de asesores de La Moneda, Miguel Crispi","['Luis Hermosilla', 'Miguel Crispi']"
888,Ministros Jean Pierre Matus y Antonio Ulloa admiten llamados a Hermosilla por sus nombramientos,"['Jean Pierre Matus', 'Antonio Ulloa']"
896,Exconsejero Luis Silva (REP) reaparece y arremete contra Evelyn Matthei,"['Luis Silva', 'Evelyn Matthei']"
908,"Juntos y Revueltos: Iván Weissman y Rodrigo Castillo sobre Hermosilla, fallo contra isapres y más","['Iván Weissman', 'Rodrigo Castillo']"
909,"Al Pan Pan con Roberto Zahler, Héctor Cossio y J.D Montalva: TC impide mutualización de Isapres","['Roberto Zahler', 'Héctor Cossio']"
916,Ministra Tohá respalda a Miguel Crispi ante cuestionamientos por pasado vínculo con Luis Hermosilla,"['Ministra Tohá', 'Miguel Crispi', 'Luis Hermosilla']"
