,noticias,personas_detectadas
4179,"  Evelyn Matthei  Episodios, enfrentamientos y anécdotas para entender a Evelyn Matthei ","['Evelyn Matthei', 'Evelyn Matthei']"
4203,  Daniela Peñaloza  Chile Vamos valora baja de Daniela Peñaloza a la reelección por Las Condes ante posibilidad de primarias ,"['Daniela Peñaloza  Chile', 'Daniela Peñaloza']"
4206,"  Daniela Peñaloza  Desde la sede de la UDI, Daniela Peñaloza confirma que no irá a la reelección en Las Condes ","['Daniela Peñaloza', 'Daniela Peñaloza']"
4223,  Consejo Nacional de Educación  Senado aprueba la designación de Gonzalo Muñoz y Carlos Williamson al Consejo Nacional de Educación,"['Gonzalo Muñoz', 'Carlos Williamson']"
4227,  Daniel Jadue  Timonel PC dice que no suspenderán militancia de Daniel Jadue: “La convicción nuestra es que es inocente”,"['Daniel Jadue  Timonel PC', 'Daniel Jadue']"
4228,  Daniel Jadue  Las razones del Partido Comunista para no suspender la militancia de Daniel Jadue ,"['Daniel Jadue', 'Daniel Jadue']"
4229,  Claudio Orrego  “Te reto a demostrar”: el round entre Claudio Orrego y Rodrigo Delgado por los guetos verticales en Estación Central ,"['Claudio Orrego', 'Claudio Orrego', 'Rodrigo Delgado']"
4232,  Congreso  Las razones de la diputada frenteamplista Marcela Riquelme para homenajear al expresidente Sebastián Piñera,"['Marcela Riquelme', 'Sebastián Piñera']"
4240,  PS  Paulina Vodanovic defiende a Fidel Espinoza tras carta en que senador reportó que evalúa dejar el PS,"['Paulina Vodanovic', 'Fidel Espinoza']"
4241,  Camila Vallejo  Vallejo distingue entre “criterio Tohá” y situación de Jadue: “Los municipios tienen su propio mecanismo para evaluar continuidad” ,"['Camila Vallejo  Vallejo', 'criterio Tohá']"
4254,  Pedro Araya  Pedro Araya (PPD) es elegido presidente de la Comisión de Defensa Nacional del Senado,"['Pedro Araya', 'Pedro Araya']"
4258,  Daniel Jadue  Vallejo por formalización a Daniel Jadue: “Nos parece importante que las instituciones de justicia avancen”,"['Daniel Jadue  Vallejo', 'Daniel Jadue']"
4260,  Daniel Jadue  Kast y solicitud de la Fiscalía para formalizar a Daniel Jadue: “Espero que pronto esté en la cárcel” ,"['Daniel Jadue  Kast', 'Daniel Jadue']"
4261,  Daniel Jadue  Los flancos judiciales que han tenido dando explicaciones a Daniel Jadue,"['Daniel Jadue', 'Daniel Jadue']"
4262,  Daniel Jadue  Solicitud de formalización a Jadue: Marcos Barraza (PC) acusa “permanente campaña de hostigamiento” contra el alcalde ,"['Daniel Jadue', 'Marcos Barraza']"
4276,  Giorgio Jackson  “Es una lástima tener que llegar a instancias judiciales”: Giorgio Jackson tras presentar demanda contra diputados UDI,"['Giorgio Jackson', 'Giorgio Jackson']"
4294,  Maite Orsini  La autocrítica de Maite Orsini (RD): “Señalar que la oposición actual es obstruccionista no quiere decir que la mía no lo haya sido”,"['Maite Orsini', 'Maite Orsini']"
4297,  Partido Republicano  Ante definición por carrera presidencial: Arturo Squella apunta que “no tiene ningún sentido” que Evelyn Matthei piense en la reelección municipal,"['Arturo Squella', 'Evelyn Matthei']"
4298,  Álvaro Elizalde  Ministro Elizalde aborda el “criterio Tohá” en caso de Miguel Crispi y asegura que medidas “se aplican a todos”,"['Álvaro Elizalde', 'Ministro Elizalde', 'criterio Tohá', 'Miguel Crispi']"
4299,  Paulina Vodanovic  Paulina Vodanovic (PS) da su apoyo a la relección de Claudio Orrego como gobernador de la RM: “Ha hecho un trabajo que debe continuar”,"['Paulina Vodanovic  Paulina Vodanovic', 'Claudio Orrego']"
4301,  Pensiones  “Esto es una provocación”: Iván Moreira (UDI) arremete contra subsecretario de Previsión Social en medio de debate por destino cotización adicional,"['Iván Moreira', 'Previsión Social']"
4306,  Matías Walker  Matías Walker (Demócratas) insiste en que Ximena Rincón competirá con Evelyn Matthei en la carrera presidencial,"['Matías Walker', 'Matías Walker', 'Ximena Rincón', 'Evelyn Matthei']"
4307,  Fidel Espinoza  Senador Fidel Espinoza (PS) acusa persecución del gobierno tras denuncia de lío de platas: “Sepan que no voy a callar jamás”,"['Fidel Espinoza  Senador', 'Fidel Espinoza']"
4318,"  Alberto van Klaveren  Tras superar impasse, Boric y van Klaveren se reúnen este jueves con embajador de Argentina para recibir sus cartas credenciales ","['Alberto van Klaveren', 'van Klaveren']"
4321,  Carlos Maldonado  TS del Partido Radical define expulsión de exministro Carlos Maldonado un año y medio después de su renuncia,"['Carlos Maldonado', 'Carlos Maldonado']"
4326,  Elecciones municipales  Partido Republicano apuesta por Lo Barnechea tras anuncio de alcalde Cristóbal Lira de no ir a reelección,"['Lo Barnechea', 'Cristóbal Lira']"
4327,"  Francisco Prat  Fallece exsenador Francisco Prat, uno de los fundadores de Renovación Nacional","['Francisco Prat', 'Francisco Prat']"
4330,  Elecciones municipales  Debido a “situación personal y familiar”: alcalde Cristóbal Lira anuncia que no irá a la reelección por Lo Barnechea,"['Cristóbal Lira', 'Lo Barnechea']"
4338,  Oposición  Exministro Hernán Larraín afirma que nunca recibió “una solicitud” de Luis Hermosilla por nombramiento de jueces,"['Exministro Hernán Larraín', 'Luis Hermosilla']"
4339,  Luis Cordero  Cordero de cara a formalización de general Yáñez: “Alguien en un cargo directivo debería pensar en no perjudicar la institución que dirige”,"['Luis Cordero  Cordero', 'general Yáñez']"
4377,  Claudio Orrego  Los acercamientos de Claudio Orrego al Frente Amplio en medio de dudas del sector sobre apoyar su reelección,"['Claudio Orrego', 'Claudio Orrego']"
4381,  Sergio Muñoz  Tras filtración de Muñoz a Hermosilla en caso Dominga: PS pide aclarar rol de exministro Andrés Chadwick,"['Sergio Muñoz', 'Andrés Chadwick']"
4398,  Javier Macaya  Macaya (UDI): “Hay una operación para debilitar la figura de Andrés Chadwick por el hecho de tener una relación de amistad con Luis Hermosilla”,"['Javier Macaya  Macaya', 'Andrés Chadwick', 'Luis Hermosilla']"
4402,  Cadem  Cadem: aprobación a Presidente Boric aumenta a un 34%,"['Cadem  Cadem', 'Presidente Boric']"
4409,  Luis Cordero  Continuidad de Ricardo Yáñez: Cordero afirma que si a él lo formalizaran “lo que corresponde es que no me mantenga” en el cargo,"['Luis Cordero  Continuidad', 'Ricardo Yáñez']"
4411,  Daniel Manouchehri  Caso Hermosilla: citan a exministros Andrés Chadwick y Rodrigo Delgado a comisión investigadora,"['Daniel Manouchehri  Caso Hermosilla', 'Andrés Chadwick', 'Rodrigo Delgado']"
4412,  Luis Cordero  Cordero valora decisión de nuevo director de la PDI de cancelar de millonario arriendo de casa en la que vivía Sergio Muñoz: “Habla muy bien del énfasis sobre el cual descansa la nueva gestión”,"['Luis Cordero  Cordero', 'Sergio Muñoz']"
4417,  Jorge Faurie  “Inaceptables”: parlamentarios critican dichos de embajador de Argentina Jorge Faurie contra delegación nacional ,"['Jorge Faurie', 'Jorge Faurie']"
4420,"  Antonia Orellana  Ministra Orellana y detención de hijo de Gary Medel: “La violencia intrafamiliar es un delito, la ley la deben cumplir todos”","['Antonia Orellana  Ministra Orellana', 'Gary Medel']"
4423,  Jorge Faurie  Chile manifiesta “preocupación” a embajador de Argentina Jorge Faurie por dichos contra delegación nacional ,"['Jorge Faurie', 'Jorge Faurie']"
4427,  Luis Cordero  Cordero y “posible corrupción de cuello y corbata”: “El celular de Luis Hermosilla puede ser una caja de pandora” ,"['Luis Cordero  Cordero', 'Luis Hermosilla']"
4441,  Jaime Quintana  Quintana (PPD) tras quiebre del acuerdo en el Senado: “Ver a Matías Walker sentado en la testera de esta nueva derecha es fuerte”,"['Jaime Quintana  Quintana', 'Matías Walker']"
4448,"  Evelyn Matthei  Evelyn Matthei: “Me costó siete años que me invitaran, con un hombre, a hablar sobre la Ley de Presupuesto” ","['Evelyn Matthei', 'Evelyn Matthei']"
4451,  Ronald Ojeda  Canciller Van Klaveren sobre crimen de Ronald Ojeda: “Esperamos que esto no afecte las relaciones con Venezuela” ,"['Ronald Ojeda  Canciller Van Klaveren', 'Ronald Ojeda']"
4454,  Luis Hermosilla  El día en que Hernán Larraín le advirtió al expresidente Piñera la influencia de Hermosilla en nombramientos judiciales,"['Luis Hermosilla  ', 'Hernán Larraín']"
4459,  Gabriel Boric  Boric condena filtraciones de Sergio Muñoz a Luis Hermosilla investigadas por la Fiscalía: “Revisten la máxima gravedad”,"['Gabriel Boric  Boric', 'Sergio Muñoz', 'Luis Hermosilla']"
4462,  Pedro Araya  Pedro Araya dice que quiebre de acuerdo por presidencia del Senado “fue una verdadera mexicana concertada”,"['Pedro Araya', 'Pedro Araya']"
4478,"  Caso Hermosilla  Tras formalización de Sergio Muñoz, Tohá dice que hay que cuidar que investigación se haga “sin ningún tipo de presión o interferencia” ","['Caso Hermosilla', 'Sergio Muñoz']"
4486,  Paulina Vodanovic  Elecciones municipales: Paulina Vodanovic (PS) le quita piso a versión de Irací Hassler y no descarta primarias en Santiago,"['Paulina Vodanovic', 'Paulina Vodanovic', 'Irací Hassler']"
4495,  Ismael Calderón  Ismael Calderón (PS) emplaza a Paulina Vodanovic en búsqueda de realizar primarias por alcaldía de Santiago ,"['Ismael Calderón  Ismael Calderón', 'Paulina Vodanovic']"
4502,  Gobierno  Boric alude a salida de Sergio Muñoz en acto con general Yáñez: “Hemos establecido un criterio”,"['Sergio Muñoz', 'general Yáñez']"
4509,  Ricardo Yáñez  El incómodo cara a cara previsto entre Boric y Ricardo Yáñez ,"['Ricardo Yáñez  El incómodo cara', 'Ricardo Yáñez']"
4513,  Demócrata Cristiano  Caso Sergio Muñoz: diputados DC impulsarán comisión investigadora por filtraciones de exdirector de la PDI a Luis Hermosilla,"['Demócrata Cristiano  Caso Sergio Muñoz', 'Luis Hermosilla']"
4518,  José Miguel Insulza  Insulza (PS) tras renuncia de Sergio Muñoz a la dirección de la PDI: “A veces el daño a la imagen de la institución prevalece sobre la presunción de inocencia”,"['José Miguel Insulza  Insulza', 'Sergio Muñoz']"
4525,  Felipe Alessandri  Exalcalde Alessandri arremete contra administración de Irací Hassler en Santiago: “Ha sido más de ideologías que edilicia o de gestión”,"['Felipe Alessandri', 'Irací Hassler']"
4527,  Gobierno  “Su ejemplo y memoria nos inspiran hoy”: Presidente Boric tras anuncio de galería en homenaje a exministros del Interior de Allende,"['Presidente Boric', 'Interior de Allende']"
4532, Ricardo Lagos  Expresidente Lagos reaparece públicamente en homenaje a José Tohá en La Moneda,"['Ricardo Lagos  Expresidente Lagos', 'José Tohá']"
4534,  Gabriel Boric  Boric en homenaje a José Tohá: “No se puede separar el golpe de Estado de las violaciones a los DD.HH.”,"['Gabriel Boric  Boric', 'José Tohá']"
4543,  Sergio Muñoz  Presidenta de Demócratas Ximena Rincón pide la salida del director de la PDI,"['Sergio Muñoz  Presidenta', 'Ximena Rincón']"
4561,  Lío de platas  Rechazan sobreseimiento de Jorge Errázuriz a raíz de querella de Giorgio Jackson por injurias y calumnias,"['Jorge Errázuriz', 'Giorgio Jackson']"
4566,"  Seguridad  Daniel Johnson, Paz Ciudadana: “La seguridad es una responsabilidad de las policías, que tienen que estar fortalecidas, y por eso la reforma es tan importante”","['Daniel Johnson', 'Paz Ciudadana']"
4567,  PPD  ¿Pedro Araya o Ximena Órdenes?: votaciones en bancada PPD no logran romper empate para definir a sucesor de Coloma en el Senado,"['Pedro Araya', 'Ximena Órdenes']"
4573,  Cancillería  Polémica por fotografía de cónsul Tamara Morales: Cancillería defiende a diplomática y rechaza críticas a su vestimenta,"['Cancillería  Polémica', 'Tamara Morales']"
4576,  Karol Cariola  La apertura de Karol Cariola (PC) a la propuesta del alcalde Vodanovic sobre apoyo militar ,"['Karol Cariola', 'Karol Cariola']"
4594,  Tomás Vodanovic  La nueva fractura oficialista que expuso Tomás Vodanovic por plantear sacar a militares en Maipú ,"['Tomás Vodanovic  La', 'Tomás Vodanovic']"
4595,  Sebastián Piñera  Senado le rinde homenaje institucional al expresidente Sebastián Piñera,"['Sebastián Piñera', 'Sebastián Piñera']"
4603,  Las Condes  “Una deslealtad”: La crítica de Daniela Peñaloza tras irrupción de Marcela Cubillos en competencia por Las Condes ,"['Daniela Peñaloza', 'Marcela Cubillos']"
4604,  Sebastián Piñera  Con presencia de Cecilia Morel y familia: Senado realiza homenaje al expresidente Sebastián Piñera,"['Sebastián Piñera', 'Cecilia Morel', 'Sebastián Piñera']"
4612,  Tomás Vodanovic  Alcaldes de La Florida y Padre Hurtado respaldan solicitud de Vodanovic que busca presencia militar ante crisis de seguridad,"['Tomás Vodanovic  Alcaldes de La Florida', 'Padre Hurtado']"
4634,  Gabriel Boric  Boric revela cuál fue el tono de la última conversación telefónica con Sebastián Piñera el día antes del accidente,"['Gabriel Boric  Boric', 'Sebastián Piñera']"
4636,  RR.EE.  Canciller Alberto van Klaveren recomienda “autocrítica” al embajador de Israel Gil Artzyeli ,"['Canciller Alberto van Klaveren', 'Gil Artzyeli']"
4646,"  Gabriel Boric  Francisco Huenchumilla (DC): “Tuvimos grandes esperanzas con el gobierno de Boric, pero ese experimento no ha dado sus frutos”","['Gabriel Boric', 'Francisco Huenchumilla']"
4647,"  Gabriel Boric  Cadem: Presidente Boric termina segundo año de gobierno con un 27% de aprobación y una nota promedio de 3,6","['Gabriel Boric  Cadem', 'Presidente Boric']"
4651,  Daniela Peñaloza  Daniela Peñaloza vs Marcela Cubillos: la contienda electoral de la derecha que asoma en Las Condes,"['Daniela Peñaloza  Daniela Peñaloza', 'Marcela Cubillos']"
4655,"  Paulina Vodanovic  “Como PS, históricamente hemos apoyado la causa del Estado palestino”: Paulina Vodanovic tras distanciarse del gobierno por exclusión de Israel de la FIDAE","['Paulina Vodanovic', 'Paulina Vodanovic']"
4656,"  Gonzalo Winter  “Él lo pide a gritos”: Diputado Gonzalo Winter (CS) se muestra a favor de expulsar al embajador de Israel en Chile, Gil Artzyeli","['Diputado Gonzalo Winter', 'Gil Artzyeli']"
4664,  Israel  Ante discrepancia de Paulina Vodanovic (PS): Diego Ibáñez (CS) dice que exclusión de Israel de FIDAE “es una decisión ética”,"['Paulina Vodanovic', 'Diego Ibáñez']"
4665,  Miguel Crispi  Timoneles oficialistas sostienen inédita cita con Miguel Crispi en La Moneda ,"['Miguel Crispi  Timoneles', 'Miguel Crispi']"
4673,  Ronald Ojeda  Boric responde tras mantener silencio por crimen de Ronald Ojeda: “Como Presidente también hablo a través de mis ministros”,"['Ronald Ojeda  Boric', 'Ronald Ojeda']"
4681,  Pedro Sánchez  Pedro Sánchez llega a Chile y es recibido por Presidente Boric en su casa en Barrio Yungay,"['Pedro Sánchez  Pedro Sánchez', 'Presidente Boric']"
4682,  Elecciones  Las diferencias que Camilo Escalona (PS) y Bárbara Figueroa (PC) marcaron frente a la carrera por Pudahuel ,"['Camilo Escalona', 'Bárbara Figueroa']"
4704,  Sebastián Piñera  “Tu ausencia se siente infinita”: Cecilia Morel comparte video con imágenes de la faceta más íntima de Sebastián Piñera ,"['Sebastián Piñera  “Tu', 'Cecilia Morel', 'Sebastián Piñera']"
4711,"  Sebastián Piñera  Familia, exministros y colaboradores recuerdan al expresidente Sebastián Piñera a un mes de su fallecimiento ","['Sebastián Piñera  Familia', 'Sebastián Piñera']"
4720,  Sebastián Piñera  Hermana de Sebastián Piñera agradece a Presidente Boric por la “rectitud y valentía con las que despidió” al exmandatario ,"['Sebastián Piñera  Hermana de Sebastián Piñera', 'Presidente Boric']"
4729, Sebastián Piñera  Senado realiza minuto de silencio en honor a expresidente Sebastián Piñera,"['Sebastián Piñera', 'Sebastián Piñera']"
4732,  Lautaro Carmona  “A mucha honra”: Lautaro Carmona evita calificar el régimen de Maduro en Venezuela como dictadura ,"['Lautaro Carmona', 'Lautaro Carmona']"
4733,  Nicolás Cataldo  Cataldo da inicio al año escolar junto a Karina Delfino tras polémica por críticas de la alcaldesa al fin de la selección,"['Nicolás Cataldo  Cataldo', 'Karina Delfino']"
4744,  Evelyn Matthei  Evelyn Matthei y eventual candidatura presidencial: “Me estoy preparando con buena gente en distintas áreas”,"['Evelyn Matthei', 'Evelyn Matthei']"
4745,  Sebastián Piñera  Monumentos en cuatro regiones y liceos con su nombre: los homenajes que impulsa RN para el expresidente Sebastián Piñera,"['Sebastián Piñera  Monumentos', 'Sebastián Piñera']"
4746,  Francisco Javier Errázuriz  El origen del apelativo “Fra Fra” con que Francisco Javier Errázuriz compitió por la presidencia en 1989 ,"['Francisco Javier Errázuriz', 'Fra Fra', 'Francisco Javier Errázuriz']"
4749,  Gabriel Boric  Pedro Sánchez realizará “visita oficial” a Chile esta semana: mantendrá reuniones con el Presidente Boric ,"['Gabriel Boric  Pedro Sánchez', 'Presidente Boric']"
4753,  Francisco Javier Errázuriz  Muere el excandidato presidencial y empresario Francisco Javier Errázuriz,"['Francisco Javier Errázuriz', 'Francisco Javier Errázuriz']"
4765,  Javier Macaya  Caso Ronald Ojeda: Macaya (UDI) acusa al Presidente Boric de “aventurar una hipótesis” al respaldar al PC tras señalar “anticomunismo visceral”,"['Javier Macaya  Caso Ronald Ojeda', 'Presidente Boric']"
4766,  Lautaro Carmona  Lautaro Carmona (PC) por caso de Ronald Ojeda: “No hay nada que diga que esto tiene que ver con una intromisión de Venezuela”,"['Lautaro Carmona', 'Lautaro Carmona', 'Ronald Ojeda']"
4767,  Partido Comunista  “Lo he vivido”: ministro Nicolás Cataldo coincide con acusación de “anticomunismo visceral” hecha por Presidente Gabriel Boric,"['Nicolás Cataldo', 'Presidente Gabriel Boric']"
4768,  Evelyn Matthei  Felipe Alessandri pide que Evelyn Matthei sincere si será candidata presidencial antes de pelear la reelección municipal,"['Evelyn Matthei', 'Felipe Alessandri', 'Evelyn Matthei']"
4770,  Comisión de Seguridad del Senado  Felipe Kast anuncia que Comisión de Seguridad del Senado citará al gobierno y Fiscalía por caso de Ronald Ojeda,"['Felipe Kast', 'Ronald Ojeda']"
4772,  Evelyn Matthei  Evelyn Matthei arremete contra Presidente Boric por respaldo al PC: “No es el momento de defensas corporativas”,"['Evelyn Matthei', 'Evelyn Matthei', 'Presidente Boric']"
4799,  Diego Vela  Diego Vela (RD) y disputa municipal por Ñuñoa: “Estoy convencido de que la alianza progresista va a apoyar a Emilia Ríos”,"['Diego Vela  Diego Vela', 'Emilia Ríos']"
4807,  Ronald Ojeda  Ministra Tohá se reúne este miércoles con partidos de oposición por secuestro de exmilitar venezolano Ronald Ojeda ,"['Ronald Ojeda  Ministra Tohá', 'Ronald Ojeda']"
4811,  Camila Vallejo  A una semana del secuestro de Ronald Ojeda: Vallejo dice que reserva de la investigación “no tiene que ver con secretismo” ,"['Camila Vallejo  A', 'Ronald Ojeda']"
4818,  Francisco Undurraga  Diputado Undurraga citará a ministra Tohá a sesión secreta en la Cámara por secuestro de Ronald Ojeda,"['Francisco Undurraga  Diputado Undurraga', 'Ronald Ojeda']"
4821,  Ronald Ojeda  Secuestro de Ronald Ojeda: diputado Jouannet acusa al gobierno de “secretismo” y apunta a acuerdo firmado con Venezuela    ,"['Ronald Ojeda  Secuestro', 'Ronald Ojeda']"
4849,"  Carola Muñoz  Quién es Carola Muñoz, la nueva embajadora de Chile en Ecuador cuya designación desató críticas en la derecha","['Carola Muñoz', 'Carola Muñoz']"
4852,"  Pablo Longueira  Pablo Longueira propone que primarias en Chile Vamos incluyan a Amarillos y Demócratas, pero no a Republicanos","['Pablo Longueira', 'Pablo Longueira']"
4853,  Tatiana Rojas  Arista por omisión de denuncia en Caso Democracia Viva: exsubsecretaria Tatiana Rojas declaró como imputada en el lío de platas,"['Tatiana Rojas  Arista', 'Tatiana Rojas']"
4879,  Daniel Urrutia  Abogado de juez Daniel Urrutia tras críticas del gobierno: “No existe un conflicto de interés” ,"['Daniel Urrutia  Abogado', 'Daniel Urrutia']"
4897,  Pablo Neruda  Corte ordena reabrir investigación por la muerte de Pablo Neruda e instruye que se interrogue al médico Eduardo Arriagada Rehren,"['Pablo Neruda', 'Pablo Neruda', 'Eduardo Arriagada Rehren']"
4902,  Johannes Kaiser  “Voy a ser precandidato presidencial”: diputado Johannes Kaiser dice que quiere ir a primarias de Chile Vamos,"['Johannes Kaiser', 'Johannes Kaiser']"
4904,  Líos de platas  Gobierno desdramatiza declaración de Carlos Contreras contra Miguel Crispi: “No hay nada nuevo” ,"['Carlos Contreras', 'Miguel Crispi']"
4905,  Miguel Crispi  Presidente de RD defiende a Miguel Crispi tras declaración de Carlos Contreras ,"['Miguel Crispi  Presidente de RD', 'Miguel Crispi', 'Carlos Contreras']"
4911,  Giorgio Jackson  Líos de platas: Giorgio Jackson y Javiera Martínez declaran esta semana ante fiscal Aguilar,"['Giorgio Jackson', 'Giorgio Jackson', 'Javiera Martínez']"
4915,  Diego Vela  Presidente de RD tras dichos de exseremi Contreras por caso Democracia Viva: “No aporta ningún antecedente nuevo para Fiscalía”,"['Diego Vela  Presidente de RD', 'exseremi Contreras']"
4916,"  Líos de platas  “No he robado nada”, “Miguel Crispi le omitió información al Presidente”: las frases que marcaron la aparición del exseremi Carlos Contreras ","['Miguel Crispi', 'Carlos Contreras']"
4923,  Daniel Urrutia  “Es peligrosa la confusión e ignorancia”: Carmen Hertz (PC) cuestiona a diputados opositores que piden sanciones contra juez que autorizó videollamada a reos,"['Daniel Urrutia', 'Carmen Hertz']"
4926,"  Raúl Schifferli  Tras condena por abuso sexual: Tribunal Electoral Regional destituye a alcalde de Lautaro, Raúl Schifferli","['Raúl Schifferli', 'Raúl Schifferli']"
4940,  Karla Rubilar  Karla Rubilar por plan de reconstrucción de Sebastián Piñera por incendios: “El gobierno lo recibió bastante bien”,"['Karla Rubilar', 'Karla Rubilar', 'Sebastián Piñera']"
4947,  Camila Vallejo  Vallejo llama a reponer fórmula 3 y 3 por pensiones “en honor” a la voluntad de acuerdos de Sebastián Piñera,"['Camila Vallejo  Vallejo', 'Sebastián Piñera']"
4958,  Sebastián Piñera  Papa Francisco expresa su sentido pésame por muerte de expresidente Sebastián Piñera: “Era un hombre con sincera pasión por la vida política chilena”,"['Sebastián Piñera  Papa Francisco', 'Sebastián Piñera']"
4961,  Irací Hassler  Partido Comunista respalda gestión de Irací Hassler en Santiago: “El proyecto que ha encabezado va en la dirección correcta”,"['Irací Hassler', 'Irací Hassler']"
4970,  Sebastián Piñera  Irací Hassler se defiende tras cuestionamientos por ausencia en funeral de Sebastián Piñera: “Aprovechamiento político sin ninguna vergüenza”,"['Sebastián Piñera  Irací Hassler', 'Sebastián Piñera']"
4973,  Sebastián Piñera  Tras críticas del PC: Vallejo llama a no “sobrereaccionar” por declaración del Presidente Boric sobre Piñera y el 18-O,"['Sebastián Piñera', 'Presidente Boric']"
4977,"  Sebastián Piñera  Rodrigo Bustos, director de Amnistía Chile: “Piñera dejó un legado sombrío en materia de derechos humanos, y eso no cambia por las circunstancias de su muerte”","['Sebastián Piñera', 'Rodrigo Bustos']"
4986,  Sebastián Piñera  Encuesta Cadem: 87% de los encuestados cree que Sebastián Piñera fue un hombre de diálogo y grandes acuerdos ,"['Sebastián Piñera  Encuesta Cadem', 'Sebastián Piñera']"
4988,  Sebastián Piñera  Muerte del expresidente Piñera: senadora Ximena Rincón afirma que están “lejos de querer canonizar forzosamente”,"['Sebastián Piñera  Muerte', 'Ximena Rincón']"
4991,  Sebastián Piñera  El reclamo del presidente de la Cámara de Diputados a Cancillería tras funeral de Estado a Sebastián Piñera,"['Sebastián Piñera  El', 'Sebastián Piñera']"
4992,  Sebastián Piñera  “No podemos quedarnos solamente en las palabras”: jefe de bancada RN emplazó a Presidente Boric a retirar las querellas en contra de Piñera ,"['Sebastián Piñera  “No', 'Presidente Boric']"
4993,  Sebastián Piñera  El vacío de liderazgo que deja la muerte del expresidente Sebastián Piñera en la oposición,"['Sebastián Piñera  El', 'Sebastián Piñera']"
4995,  Sebastián Piñera  Revisa el discurso completo del Presidente Boric en el funeral de Sebastián Piñera,"['Sebastián Piñera  Revisa', 'Sebastián Piñera']"
4998,  Sebastián Piñera  Canciller Van Klaveren entrega bandera a Cecilia Morel y culmina funeral de Estado del expresidente Sebastián Piñera,"['Sebastián Piñera  Canciller Van Klaveren', 'Cecilia Morel', 'Sebastián Piñera']"
5000, Sebastián Piñera  Las emocionadas palabras de despedida de nietos e hijo del expresidente Sebastián Piñera: “Gracias por ser un compañero de vida como ninguno”,"['Sebastián Piñera', 'Sebastián Piñera']"
5002, Sebastián Piñera  El emotivo momento en que Cecilia Morel y sus hijos dieron el último adiós al expresidente Piñera,"['Sebastián Piñera  ', 'Cecilia Morel']"
5003,"  Sebastián Piñera  Ignacio Guerrero, amigo del expresidente Piñera que sobrevivió al accidente en helicóptero, lee salmo en misa fúnebre ","['Sebastián Piñera', 'Ignacio Guerrero', 'lee salmo']"
5007,  Sebastián Piñera  Expresidente Eduardo Frei en funeral de Sebastián Piñera: “Fue un demócrata ejemplar y líder para toda la nación”,"['Sebastián Piñera  Expresidente Eduardo Frei', 'Sebastián Piñera']"
5009,  Sebastián Piñera  Presidente de la Corte Suprema en funeral de Sebastián Piñera: “La huella que deja hace posible el consuelo”,"['Sebastián Piñera  Presidente de la', 'Sebastián Piñera']"
5011,  Sebastián Piñera  En vivo: sigue acá la transmisión del funeral del expresidente Sebastián Piñera,"['Sebastián Piñera', 'Sebastián Piñera']"
5024,  Sebastián Piñera  Pablo Longueira acusa que el gobierno de Boric durante el mandato de Piñera “ha sido por lejos la peor oposición que ha habido en Chile”,"['Sebastián Piñera', 'Pablo Longueira']"
5025,  Sebastián Piñera  La emotiva guardia de honor que Cecilia Morel y sus hijas hicieron en el velatorio de Piñera,"['Sebastián Piñera', 'Cecilia Morel']"
5026,"  Sebastián Piñera  Expresidentes Eduardo Frei, Ricardo Lagos y Michelle Bachelet asistirán al funeral de Estado de Sebastián Piñera","['Sebastián Piñera  Expresidentes Eduardo Frei', 'Ricardo Lagos', 'Michelle Bachelet']"
5028,"  Sebastián Piñera  Pablo Piñera, hermano del expresidente: “Murió en su ley... en la forma que le habría gustado morir”","['Sebastián Piñera', 'Pablo Piñera']"
5030,"  Sebastián Piñera  Francisco Vidal y la figura de Piñera: “De intelecto sobresaliente, audaz y valiente (...) fue el único líder de la derecha que pudo concretar alternancia en el poder”","['Sebastián Piñera', 'Francisco Vidal']"
5037,  Sebastián Piñera  Exministro Andrés Chadwick: “La pena es tremenda y el dolor muy fuerte”,"['Sebastián Piñera', 'Exministro Andrés Chadwick']"
5038,  Sebastián Piñera  Féretro del expresidente Sebastián Piñera llega a Santiago y se inicia funeral de Estado,"['Sebastián Piñera', 'Sebastián Piñera']"
5040,  Sebastián Piñera  Ministros participan en guardia de honor de expresidente Sebastián Piñera en el ex Congreso,"['Sebastián Piñera  Ministros', 'Sebastián Piñera']"
5042,  Sebastián Piñera  Emotivo encuentro con Cecilia Morel: presidentes del Senado y de la Cámara reciben féretro de Piñera en el ex Congreso Nacional,"['Sebastián Piñera', 'Cecilia Morel']"
5044,  Sebastián Piñera  Un abrazo y diálogo con Cecilia Morel: Boric recibe féretro de Piñera y rinden primeros honores al expresidente  ,"['Sebastián Piñera  Un abrazo y', 'Cecilia Morel']"
5048,  Sebastián Piñera  Exministro Hinzpeter por deceso de Piñera: “Es muy triste saber que hoy me levanté sin que él existiera”,"['Sebastián Piñera', 'Exministro Hinzpeter']"
5050,  Sebastián Piñera  La declaración de Joe Biden por la muerte del expresidente Piñera: “Vi de primera mano la dedicación a su país”,"['Sebastián Piñera', 'Joe Biden']"
5053,  Sebastián Piñera  Cuerpo de Sebastián Piñera es trasladado desde Valdivia a Santiago: será recibido por el Presidente Boric,"['Sebastián Piñera', 'Sebastián Piñera', 'Presidente Boric']"
5054,  Sebastián Piñera  Canciller da detalles del funeral de Estado que recibirá Sebastián Piñera: misa se realizará el viernes a las 11.00 en la Catedral de Santiago ,"['Sebastián Piñera  Canciller', 'Sebastián Piñera']"
